Recept ID,Receptnév,Elkészítése,Kép,Szenhidrat_g,Feherje_g,Zsir_g,Recept_Skálázhatóság,,
11,Avokádós-Pulykamell Sonkás Szendvics Citrommal,"1. A szelet teljes kiőrlésű kovászos kenyeret pirítsd meg kenyérpirítóban vagy száraz serpenyőben ízlés szerint ropogósra.
2. Az érett avokádó negyedének húsát vagy vágd vékony szeletekre, vagy egy kis tálkában villával törd össze enyhén. Azonnal csepegtesd meg a citromlével, hogy ne barnuljon meg, majd ízlés szerint sózd és borsozd.
3. A pirított kenyérszeletre helyezd rá a bébispenót leveleket.
4. Rétegezd rá a pulykamell sonka szeleteket.
5. Végül add hozzá az előkészített avokádót (szeletelve vagy krémként elkenve).
6. Ha szükséges, ízesítsd még egy kevés sóval, borssal a tetejét.
7. Azonnal fogyaszd.",https://drive.google.com/thumbnail?id=1Q0hElYfaYx-Za858OzrcJNxiKyH4i_T6,22,16,7,Nem skálázható,,
12,Áfonyás Muffin,"1. Előkészítés: Melegítsd elő a sütőt 170°C-ra (alsó-felső sütés). Készíts elő 1-2 mélyedést egy muffin sütőformában (kibélelve papírkapszlival vagy kivajazva/olajozva).
2. Száraz hozzávalók összekeverése: Egy közepes tálban keverd össze alaposan a zablisztet, a kakaóport, a sütőport és az ízlés szerinti édesítőszert.
3. Nedves hozzávalók összekeverése: Egy másik kisebb tálban villával enyhén verd fel a tojást. Add hozzá a növényi tejet és az olvasztott (de nem forró) kókuszzsírt, majd keverd simára.
4. Összeállítás: Öntsd a nedves keveréket a száraz hozzávalókhoz. A megadott instrukció szerint ""alaposan összekeverjük"", de a muffinoknál általában javasolt csak addig keverni, amíg az összetevők éppen összeállnak, hogy a végeredmény puha maradjon.
5. Extrák hozzáadása: Forgasd bele óvatosan az áfonyát és az apróra vágott mandulát.
6. Sütés: Oszd el a masszát az előkészített muffinforma mélyedései(be)n. Süsd az előmelegített sütőben körülbelül 20 percig. Végezz tűpróbát: szúrj egy fogpiszkálót a muffin közepébe; ha tisztán jön ki, elkészült. (Figyelem: a kis mennyiség és a szokatlan arányok miatt a sütési idő és az állag eltérhet a megszokottól.)
7. Hűtés: A megsült muffinokat hagyd a formában pár percig hűlni, majd óvatosan vedd ki őket, és tedd rácsra, hogy teljesen kihűljenek.",https://drive.google.com/thumbnail?id=1jhPvIP5Dpea-41WG3Y48wYYq8s7MKNWz,21,12,21,Nem skálázható,desszert,
13,Almaleves,"1. Alma előkészítése és főzése: Az almát mosd meg, hámozd meg (ízlés szerint, de levesbe általában hámozva kerül), magházát távolítsd el, majd kockázd fel kisebb darabokra. Tedd egy lábosba a felkockázott almát. Adj hozzá annyi vizet, amennyi ellepi (kb. 200-300 ml, a kívánt sűrűségtől függően), a fahéjat, a szegfűszeget, a csipet sót és az ízlés szerinti édesítőszert. Kezdd el főzni közepes lángon. Főzd addig, amíg az alma megpuhul (kb. 10-15 perc).
2. Sűrítés: Amíg az alma fő, egy kis tálkában keverd simára a vaníliás pudingport a növényi tejjel. Ügyelj rá, hogy ne maradjanak benne csomók. Amikor az alma megpuhult, vedd ki a levesből az egész fűszereket (fahéjrudat, szegfűszegeket), ha nem szeretnéd, hogy benne maradjanak. A pudingporos tejet lassan, folyamatos kevergetés mellett csorgasd a forrásban lévő almaleveshez.
3. Befejezés: Forrald fel újra a levest, majd főzd még körülbelül 2 percig, amíg kissé besűrűsödik. Ha használod, ennél a pontnál add hozzá a néhány csepp citromlevet az ízesítéshez. Kóstold meg, és ha szükséges, édesítsd utána.
4. Tálalás: Melegen vagy hidegen is tálalható.",https://drive.google.com/thumbnail?id=1nIc5_hNZ1LXqSZA-RjtjSaVRzC_EU2jF,23,2,3,Nem skálázható,,
14,Almás-Fahéjas Crumble,"1. Előkészítés: Melegítsd elő a sütőt 180°C-ra (alsó-felső sütés). Készíts elő egy kis méretű, hőálló tálat vagy sütőformát (kb. 10x15 cm, vagy egy nagyobb bögrét). Az elkészítési mód alapján ez nem klasszikus ""süti"" lesz, hanem inkább egy egyadagos sült alma crumble/morzsasütemény. A sütőpapírral bélelés opcionális, de segíthet a tisztításban. 
2. Alma előkészítése: Az almát hámozd meg, magházát távolítsd el, majd szeleteld fel vékonyabb cikkekre vagy kockázd fel. Locsold meg azonnal a citromlével, hogy ne barnuljon meg. Helyezd az almaszeleteket/kockákat az előkészített sütőforma aljára egyenletesen elosztva. 
3. Zabpelyhes keverék elkészítése: Egy kis tálban keverd össze a zabpelyhet, a darált diót, az őrölt fahéjat és az ízlés szerinti édesítőszert. Add hozzá az olvasztott (de nem forró) kókuszzsírt, és keverd össze alaposan, hogy a zabpelyhes keverék kissé összeálljon, morzsás legyen. 
4. Összeállítás és sütés: Szórd egyenletesen a zabpelyhes keveréket az almakészítmény tetejére. Süsd az előmelegített sütőben 30-35 percig, amíg a teteje szép aranybarnára sül, és az alma alatta megpuhul, fortyog. 
5. Tálalás: Melegen tálald, önmagában vagy egy kanál növényi joghurttal, esetleg vaníliafagylalttal. ",https://drive.google.com/thumbnail?id=1DYQWjQmsFSCCm3u2aB2rccCIlbfBgF1S,35,8,17,Nem skálázható,desszert,
15,Ázsiai lazacos quinoa,"1. Quinoa főzése: A 40 g quinoát alaposan öblítsd át hideg vízzel egy finom szűrőben. Tedd fel főni kétszeres mennyiségű vízben (kb. 80-100 ml). Forrás után vedd alacsonyra a lángot, fedd le, és főzd kb. 12-15 percig, amíg a víz teljesen felszívódik és a quinoa megpuhul. Húzd le a tűzről, és hagyd fedő alatt pihenni még 5 percig, majd villával lazítsd fel.
2. Hozzávalók előkészítése: Amíg a quinoa fő, készítsd elő a többi alapanyagot. A lazacfilét szükség esetén vágd adagokra. A zöldségeket tisztítsd meg és vágd fel a kívánt méretre (pl. brokkolirózsák, paprika csíkok, répa szeletek). Reszeld le vagy aprítsd finomra a gyömbért.
3. Lazac pácolása és sütése (opcionális pác): A lazacot ízesítheted a reszelt gyömbér egy részével, egy kevés szezámolajjal és opcionálisan egy kevés szójaszósszal. Hagyd állni pár percig. Süsd a lazacot serpenyőben (oldalanként 3-5 percig, kevés olajon, ha szükséges) vagy sütőben (kb. 180-200°C-on 12-15 perc alatt), amíg átsül és omlós lesz.
4. Zöldségek párolása/pirítása: Egy serpenyőben vagy wokban hevíts fel egy kevés olajat (ha szükséges, a szezámolaj egy részét is használhatod itt, de a szezámolaj intenzív íze miatt gyakran csak a végén adják hozzá). Dobd rá a keményebb zöldségeket először (pl. sárgarépa, brokkoli), pirítsd pár percig, majd add hozzá a puhábbakat (pl. paprika). Párold vagy pirítsd roppanósra (kb. 5-7 perc). Közben add hozzá a maradék reszelt gyömbért, és ízesítsd opcionálisan szójaszósszal.
5. Tálalás: A megfőtt quinoát szedd egy tálba. Helyezd rá a sült lazacot és a párolt/pirított zöldségeket. Csorgasd meg az 1 teáskanál szezámolajjal (ha nem használtad el teljesen a sütéshez/pirításhoz). Ízlés szerint tovább ízesítheted szójaszósszal vagy egy kevés friss zöldfűszerrel (pl. koriander, újhagyma).",https://drive.google.com/thumbnail?id=1t-n_q0wEHld1AWaLyB-1f0liIz9pxGF8,38,58,21,Skálázható,,
16,Brassói Aprópecsenye,"1. Előkészítés: A csirkemellet mosd meg, töröld szárazra, majd vágd kb. 1,5-2 cm-es kockákra. Sózd, borsozd. A burgonyát pucold meg, mosd meg, és vágd szintén kb. 1-1,5 cm-es kockákra. Tedd hideg vízbe felhasználásig, hogy ne barnuljon meg, majd alaposan csepegtesd le és töröld szárazra. A vöröshagymát pucold meg és aprítsd finomra. Ha használsz, a fokhagymát is pucold meg és zúzd össze vagy aprítsd finomra.
2. Hús párolása és pirítása: Az 1 tk. kókuszzsírt hevítsd fel egy serpenyőben. Add hozzá a finomra vágott vöröshagymát, és dinszteld üvegesre közepes lángon. Add hozzá a felkockázott csirkemellet (és a zúzott fokhagymát, ha használsz). Pirítsd körbe fehéredésig. Vedd a lángot mérsékeltre, fedd le, és párold a húst puhára a saját levében (kb. 10-15 perc). Ha szükséges, pótolj alá nagyon kevés vizet. Amikor a hús megpuhult, vedd le a fedőt, erősítsd a lángot, és kevergetve pirítsd a húskockákat aranybarnára. Ízlés szerint fűszerezd majorannával. Tedd félre, tartsd melegen.
3. Burgonya sütése: Egy másik serpenyőben hevíts fel további kókuszzsírt vagy olajat (kb. 1-2 evőkanálnyit). Add hozzá a szárazra törölt burgonyakockákat. Közepesen erős lángon, időnként átforgatva süsd a burgonyát aranybarnára és ropogósra (kb. 10-15 perc). Ügyelj rá, hogy ne száradjon ki túlzottan; a közepe maradjon puha. Sütés vége felé sózd meg.
4. Összekeverés és tálalás: A megsült burgonyát forgasd össze a pirított csirkehússal. Azonnal tálald, frissen aprított petrezselyemmel megszórva. Savanyúság (pl. csemegeuborka) jól illik hozzá.",https://drive.google.com/thumbnail?id=1y40SZVn9ubCQizv6npJozJ2Dh3ygp-eK,30,37,9,Skálázható,,
17,"Brokkoli ""Tócsni"" Tojással Sütőben Sütve","1. Sütő előmelegítése és tepsi előkészítése: Melegítsd elő a sütőt 200°C-ra (alsó-felső sütés). Egy nagy tepsit bélelj ki sütőpapírral. 
2. Brokkoli előkészítése: A brokkolit alaposan mosd meg. Vágd rózsáira, majd aprítsd nagyon finomra késsel, vagy daráld le késes aprítóban, esetleg reszeld le egy nagyobb lyukú reszelőn. A cél, hogy apró, rizsszemnyi vagy annál alig nagyobb darabok legyenek. (Alternatívaként rövid ideig párolhatod a brokkolirózsákat, majd lehűtés után apríthatod, így puhább lesz a tócsni belseje.) 
3. Alapanyagok összekeverése: Egy nagyobb tálban keverd össze az aprított brokkolit, a 2 db felütött tojást, a 20 g zabpehelylisztet, az aprított fokhagymát és a felkarikázott újhagymát. Ízesítsd sóval és frissen őrölt fekete borssal. Alaposan keverd össze, hogy egyenletes masszát kapj. (Ha a massza esetleg túl nedvesnek tűnne a 20g liszttel, egy nagyon kevés plusz lisztet adhatsz hozzá, de a cél a 20g-os határ tartása volt.) 
4. Tócsnik formázása és tepsire helyezése: Evőkanálnyi adagokat vegyél ki a masszából, és formázz belőlük laposabb korongokat (tócsnikat) a sütőpapírral bélelt tepsire helyezve őket. Hagyj közöttük egy kis helyet. 
5. Sütés: Tedd az előmelegített sütőbe, és süsd kb. 15-20 percig. Körülbelül 10 perc után érdemes egy lapáttal óvatosan megfordítani őket, hogy mindkét oldaluk szép aranybarnára süljön és átsüljenek. Akkor jó, ha a külsejük kissé megpirult és a belsejük is megszilárdult. 
6. Tálalás: Melegen tálald, önmagában, mártogatóssal (pl. fokhagymás joghurt, tejföl – ezek befolyásolják a tejmentességet és a makrókat) vagy köretként. ",https://drive.google.com/thumbnail?id=1RUEoo_R4ncKNeB6guUpev3G18Wj02Cbt,35,24,14,Nem skálázható,,
18,Brokkolikrémleves,"1. Brokkoli előkészítése és főzése: Ha friss brokkolit használsz, szedd rózsáira, a torzsáját pedig hámozd meg és vágd kisebb kockákra (az is felhasználható). Alaposan mosd meg. Ha fagyasztott, nincs szükség előkészítésre. A vizet (vagy alaplevet) forrald fel egy lábosban, adj hozzá egy csipet sót. Tedd bele a brokkolirózsákat (és a torzsát). Főzd fedő alatt közepes lángon, amíg a brokkoli teljesen megpuhul (kb. 10-15 perc frissnél, fagyasztottnál kevesebb is elég lehet).
2. Pürésítés: Amikor a brokkoli megpuhult, vedd le a tűzről. Botmixerrel pürésítsd simára a brokkolit a saját főzőlevében. Ha nincs botmixered, óvatosan átteheted turmixgépbe is.
3. Ízesítés és befejezés: Add a pürésített leveshez a kókusztejszínt. Ízesítsd sóval, frissen őrölt borssal, őrölt szerecsendióval és az őrölt édesköménnyel (ha használsz). A ½ gerezd fokhagymát reszeld hozzá vagy nyomd át fokhagymanyomón. Tedd vissza a tűzre, és óvatosan melegítsd össze (ne forrald már újra erősen, csak amíg átmelegszik), hogy az ízek összeérjenek, kb. 1-2 perc. Kóstold meg, és ha szükséges, igazíts a fűszerezésen.
4. Tálalás: Forrón tálald. Díszítheted zöldfűszerrel.",https://drive.google.com/thumbnail?id=1mMDF2HGOAumqa43hcfn9EU96tF_djFr_,8,11,8,Nem skálázható,,
19,Brokkolis Muffin Tojással,"1. Sütő előmelegítése: Melegítsd elő a sütőt 180°C-ra (alsó-felső sütés). Készíts elő egy muffin sütőformát, és béleld ki papírkapszlival.
2. Tojások felverése: Egy közepes tálban verd fel a két tojást egy villával vagy kézi habverővel, amíg kissé habos nem lesz.
3. Hozzávalók összekeverése: Add a felvert tojásokhoz az 1 evőkanál zablisztet, a csipet sót, borsot és (ha használsz) szerecsendiót. Keverd simára.
4. Brokkoli hozzáadása: Forgasd bele a 100 g párolt és apróra vágott brokkolit a tojásos masszába. Ügyelj rá, hogy a brokkoli egyenletesen eloszoljon.
5. Formába töltés: Oszd el a brokkolis-tojásos keveréket az előkészített muffinforma mélyedéseibe.
6. Sütés: Tedd az előmelegített sütőbe, és süsd kb. 15-20 percig, vagy amíg a muffinok közepe megszilárdul és a tetejük enyhén aranyszínű nem lesz. Tűpróbával ellenőrizheted: ha a közepébe szúrt tű tisztán jön ki, elkészültek.
7. Hűtés és tálalás: Vedd ki a sütőből, hagyd pár percig a formában hűlni, majd óvatosan emeld ki a muffinokat, és rácson hűtsd tovább. Langyosan vagy hidegen is fogyasztható.",https://drive.google.com/thumbnail?id=1NJMGDxZJNFN7gHgrJaqgvlwku9Lz14YI,13,17,11,Nem skálázható,,
20,Brokkolis-Sonkás Quiche (Töltelék),"1. Sütő előmelegítése: Melegítsd elő a sütőt 180-190°C-ra (alsó-felső sütés). 
2. Alapanyagok előkészítése (ha szükséges):  
o Ha a brokkoli még nem párolt, párold meg enyhén roppanósra, majd vágd kisebb rózsákra vagy darabokra. 
o Ha a vöröshagyma még nem dinsztelt, aprítsd fel és kevés olajon (kb. 1 teáskanálnyi, melyet a makrókhoz hozzáadtam) párold üvegesre. 
o A sonkát vágd apró kockákra. 
3. Tojásos alap kikeverése: Egy közepes méretű tálban verd fel könnyedén a 2 tojást. Add hozzá a 100 ml növényi tejszínt, ízlés szerint sót (figyelembe véve a sonka sósságát), borsot és egy csipet szerecsendiót. Keverd simára. 
4. Töltelék összeállítása: A felvert tojásos keverékhez add hozzá az előkészített párolt brokkolit, a kockázott sonkát és a dinsztelt vöröshagymát. Óvatosan forgasd össze, hogy mindenhol egyenletesen legyenek az összetevők. 
5. Sütés:  
o Tésztával: Ha használsz quiche tésztát (bolti vagy házi), bélelj ki vele egy piteformát, szükség esetén süsd elő a tésztát (vaksütés). Öntsd a brokkolis-sonkás tölteléket az elősütött vagy nyers tésztakosárba. 
o Tészta nélkül (Crustless Quiche): Egy kivajazott, kilisztezett (vagy sütőpapírral bélelt) hőálló tálba vagy piteformába öntsd a tölteléket. 
6. Helyezd az előmelegített sütőbe, és süsd kb. 30-40 percig, vagy amíg a töltelék megszilárdul, a teteje pedig szép aranybarnára pirul. Tűpróbával ellenőrizheted: ha a közepébe szúrt kés vagy fogpiszkáló tisztán jön ki, elkészült. 
7. Pihentetés: Sütés után hagyd a quiche-t legalább 10-15 percig a formában hűlni szeletelés előtt, hogy a töltelék stabilizálódjon. ",https://drive.google.com/thumbnail?id=1w2AqUFJt-24xyABDAqoAHIN0aObRl-Lz,25,35,36,Nem skálázható,,
